ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS
cadc8f5b-b4c8-43ff-99ed-18c6c9655359,1962-03-28,,653-31-0409,GG95912491,iq91220596,Mr.,Willie,Andrade,MD,,Married,Other,Hispanic or Latino,F,"Port Eric, CA","77895 Brittany Cove Suite 813 Kaufmanfurt, NM 53088"
cadc8f5b-b4c8-43ff-99ed-18c6c9655359,1945-06-17,,775-69-3622,sz57613320,nh27336919,Misc.,Ruth,Petersen,MD,,Widowed,Other,Hispanic or Latino,M,"Haroldfurt, PW","7120 Michele Cliffs Tuckerhaven, WI 40001"
cadc8f5b-b4c8-43ff-99ed-18c6c9655359,1942-04-15,,890-29-2516,rs62637719,Xl15856604,Mr.,Robin,Henderson,DVM,,Single,Black,Not Hispanic or Latino,F,"New Michael, PA","52566 April Keys Suite 413 New Michelle, ID 48505"
cadc8f5b-b4c8-43ff-99ed-18c6c9655359,1936-01-27,,827-62-9762,cL76225029,ru77009251,Mr.,Taylor,Waller,DDS,,Single,Black,Not Hispanic or Latino,M,"Jacksonview, CO",USNV Silva FPO AA 07529
b70ae4fb-ce2c-4498-9164-f56013ef4aab,1943-08-13,,237-55-5751,sS96888780,MF47175577,Mrs.,Mark,Austin,Jr.,,Widowed,Other,Hispanic or Latino,M,"New Kimberlymouth, ID",USCGC Smith FPO AP 01935
b70ae4fb-ce2c-4498-9164-f56013ef4aab,1986-12-28,,016-02-7080,Qi10369605,Ey65677683,Mrs.,Holly,Spencer,PhD,,Married,Other,Hispanic or Latino,F,"South Thomas, WA",USNV Reese FPO AE 43957
b70ae4fb-ce2c-4498-9164-f56013ef4aab,1970-06-12,,783-13-5606,Qf46635137,EU53231966,Miss,Scott,Gordon,MD,Porter,Divorced,White,Not Hispanic or Latino,M,"East Courtney, TX","46047 Kristopher Manor Apt. 175 Gillespieville, TX 28093"
b70ae4fb-ce2c-4498-9164-f56013ef4aab,1945-08-31,,732-98-1001,Rr07250525,TJ04327189,Mr.,Tricia,Hodge,Jr.,,Married,Black,Not Hispanic or Latino,F,"Bernardchester, RI","569 Arnold Island Apt. 722 East Tony, NE 40406"
b70ae4fb-ce2c-4498-9164-f56013ef4aab,1934-09-03,,592-88-7932,Jn47324015,rN57409149,Ind.,Matthew,Daniels,MD,,Single,Native American,Hispanic or Latino,M,"Lake Tinaview, MS","7935 Alexandra Keys Port Troy, TN 80330"
b70ae4fb-ce2c-4498-9164-f56013ef4aab,1950-10-16,,226-07-9089,WZ41205574,MS74291520,Mx.,Christopher,Garcia,DDS,,Single,Other,Hispanic or Latino,M,"Padillafort, HI","6176 Shawn Crossing Suite 994 West Sabrinaberg, ME 71018"
b70ae4fb-ce2c-4498-9164-f56013ef4aab,1962-10-03,,001-05-8347,WE26394583,JQ40336636,Mx.,Patricia,Adkins,IV,,Divorced,Native American,Hispanic or Latino,F,"North Victoria, MI","8155 Coleman Gateway Suite 391 South Kelsey, PW 97307"
